Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-20823,365420955,16095606,25351835,52236377,13954879,16037388,55771843,1427255,8859379,8791281,19373044,4858953,609890,2170652,123545321,1272087
010-20856,426373415,15601500,36362140,81386900,23101153,15378547,74921566,4567163,9072848,15386511,22026493,18999382,13689976,4512605,140663009,8623430
010-20900,162585433,12330115,15884082,28614556,8764038,1670652,53307713,4217600,4100453,13504840,12369463,14946853,2609577,3009435,139756516,3793186
010-20905,232169601,14903426,18448722,36710803,10432949,1560541,63239924,1033778,4106126,10463867,20270124,3463462,421127,3090493,114345526,1349471
010-20946,195278246,10197053,19552769,38998945,11485903,3127054,56961722,3332416,5298784,10785753,15256621,20868028,3769811,2944281,173134306,5521626
010-20953,218421297,8665988,16910575,31865189,9381826,20056202,50146333,794558,6709041,9695289,12681756,7552846,1510464,3055710,125042726,2621988
010-20961,178564087,13626952,23072732,49177754,15569755,5912789,72677078,3908226,8095719,13701945,13778177,15387418,4133309,4263364,168036760,6152512
010-21016,218113672,13685112,19708077,39602645,12091623,9217576,58620334,4523203,6052831,13742677,18720076,10404748,1490904,2158159,122907003,2543344
010-21017,152195125,11232157,14033776,28642447,8127862,3306386,58681132,5083589,4341914,8647783,11013654,15009842,3200811,2696014,132658775,5674067
010-21059,191850169,11828067,18061680,36659038,9858810,4976512,62947492,6415086,7210559,7533415,12574221,7721158,2600670,1788235,108913590,4723024
010-21062,152007443,8012020,14255324,26745678,8687764,2438754,51213655,3762108,4451727,7178491,8778718,9341113,2823815,2274988,147598603,4982793
010-21085,160327854,7822885,11868753,20201697,6168046,931019,29937502,648566,1655435,5708674,9173494,6138876,399168,2282547,94816988,1448855
010-21141,187650470,13318782,16760435,29872243,9632019,5617341,72918688,8452160,5910500,12061676,16041985,18494830,3106424,2969117,204720001,6669313
010-21142,207134131,10610647,17452111,41639939,11119205,6823659,52128038,1357181,5708145,8256398,17299245,6873470,1033039,2039233,130891716,1679375
010-21143,428409688,14251421,31887848,76720272,25004691,15321815,72154275,6988074,9536035,13628305,19481456,16711958,7100464,3264871,139374173,5791360
010-21149,213486069,13005489,17991368,33955772,10507841,2465897,51639574,2122615,5526636,11136604,11008409,14975546,1690345,2669393,77616595,2894473
010-21159,179199266,12931851,19768069,42005768,11202578,3448569,54021862,11398002,5479077,10546705,10463764,22600631,4206457,2726226,145969710,9234818
010-21163,246031016,10821077,20681940,41287385,12138541,1850082,47141811,3894209,5000404,14178298,17266478,20513211,8681086,3457521,118636169,9969395
010-21203,186136855,8925129,14987283,35676412,9882984,3049978,54333743,1516616,5097501,6446445,10393973,7337512,1480384,2017591,95470805,2731574
010-21222,172698588,12152258,16052657,34126098,10142092,2230226,56373718,1681384,4085576,8348011,18755880,18983717,2114957,3012518,162319832,2870592
010-21230,281522689,13656001,28268523,62671923,18126775,14743338,80487922,7029763,10346382,14306387,22913688,22234767,2476676,2575512,159083169,4578622
010-21234,227771400,7968019,16102353,31319737,8506695,2712511,38504318,1728150,2720339,5721991,25581654,10704635,2139290,2432136,89507369,2979036
010-21244,323239802,15424130,30577467,62668726,17456672,1732876,67298519,4428393,5341082,13411873,12038676,22298570,4996267,4486410,164117445,7693158
010-21351,253849997,11296825,24884811,64134605,16492075,6493017,49481587,1248511,5820379,11949214,17423325,14401600,3684977,3223952,148994693,2915043
010-21408,255643497,12032584,27399684,58323884,18818941,21533092,57025564,4675567,9546912,12742589,17634321,14037011,6498182,1808364,132563479,5556264
010-21431,239210558,14269912,20929302,42366959,13046135,1949854,55283052,5258691,4693985,10865999,16807920,16472648,4615392,3060010,146231466,5599551
010-21457,172001258,11413350,15743833,31604724,8844053,3606005,53405918,3702552,5298374,9782962,17622753,14512907,4308068,2562458,138287111,6628619
010-21460,303084696,20011869,28538020,57019766,16569893,5253162,83139388,1566892,5862707,13318645,24902375,19142756,2417068,3278509,153813375,3779428
010-21476,247356285,12289892,23919070,52192483,16807361,14274536,45539231,1168654,10608366,11679105,17804439,9050300,1099216,2103226,162657002,1798132
010-21491,495626895,14122631,33214319,85462967,22226976,8938622,68784083,4408846,7983276,15108576,20774766,16104428,3957449,3270920,148709109,4092908
010-21495,118912516,10852878,11274324,20188748,6418959,2007832,54026774,7405295,3231980,5973749,10240381,14333805,4178527,2722031,87387789,7120811
010-21498,150496748,13352096,18522909,32613121,9696726,1648728,53997338,7623751,5395291,9624028,14525251,23857507,6599710,2222149,124611046,15903120
010-21499,206878511,16259329,21375835,40039929,11854067,12540520,78701964,6682385,8265712,12345323,13643660,23131173,5747739,3979697,133187761,9112258
010-21515,301207928,10320699,19685207,37514689,11827540,21291015,53594200,236493,7224418,7496762,17268421,3747711,548576,1623179,34912551,883737
010-21525,256510321,10746696,21651600,43425892,12719302,2180321,49603304,1650297,3384699,9296802,21417482,16666842,3809451,2435509,114049585,4511563
010-21528,219584023,13490056,23190629,48150667,13539804,12871932,57782274,4464860,9448954,13115467,12815219,5099605,5704030,1910380,120023444,3278928
010-21530,143037997,8300030,12742815,26157596,7387683,5823540,42048528,1273392,3860533,6554218,12586169,8936241,1188523,2517556,88203857,2262558
010-21545,205806323,12432036,18380624,39159537,9933037,4394401,49780961,3190896,4677286,7204445,16755033,10758201,2147030,2136753,152156155,3294569
010-21549,212587262,12409216,20981839,45597712,12116880,1867665,51593064,3728977,5542022,7648760,17721347,19243639,5701702,2603519,122506075,8559745
010-21553,259432780,13519594,20993599,44198631,12111571,4048150,64706925,3584424,5404601,10003915,14366829,12955686,2396430,2233303,133435818,3863048
010-21563,69826968,8575119,8339362,16769016,4889197,1554823,57287439,1392830,2711774,5304016,6972441,1081784,1418301,893780,60298048,2982243
010-21579,229571744,14808497,18765831,34049391,10825743,1486427,63147910,3041747,4796752,13067869,17683077,11335138,1498666,3159186,112282027,2571472
010-21580,246610674,12456177,19488260,38103051,12130208,4617684,61008892,8652181,7260310,13517655,9559678,9456464,4106096,3081529,116476338,7134796
010-21631,193593331,10124182,18146891,33169089,10853988,1624884,46256078,2036595,2938214,10348770,20279733,18567585,1968150,3164926,89758040,4123317
010-21657,257438432,14171906,23779730,54270731,15727901,9471760,45089121,7043838,7583130,9293365,21643316,14922692,1949147,1671322,139278916,3308320
