	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqd	pbQC61	pbQC62	pbQC63	pbQC64	pbQC65	pbQC66	pbQC67	pbQC68	pbQC69	pbQC70	pbQC71	pbQC72	pbQC73	pbQC74	pbQC75	pbQC76	pbQC77	pbQC78	pbQC79	pbQC80
2475	1006.01460422306	1006.01377969663	1006.01545237134	112.2255	110.138	114.158	4	4	NA	NA	2441.52026367188	NA	NA	NA	NA	NA	NA	NA	1812.68481445312	NA	NA	NA	NA	NA	1871.33825683594	NA	NA	1656.67468261719
2476	1006.01447557198	1006.01409764274	1006.01595308516	1874.26	1871.25	1875.46	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1857.79553222656	1942.37121582031	1603.57446289062	NA	1529.2763671875
2477	1010.02503663612	1010.02417613802	1010.02644929978	112.2475	110.283	114.24	10	10	2250.26489257812	NA	2183.61352539062	NA	NA	1794.17980957031	NA	1551.34130859375	1550.57202148438	1959.76147460938	1618.4326171875	NA	NA	NA	1480.68078613281	1460.26892089844	NA	NA	1346.8779296875	NA
2478	1010.02599114689	1010.02480122217	1010.02649050249	1876.97	1872.93	1893.76	9	9	NA	2233.2314453125	NA	1681.22033691406	1488.59289550781	1538.982421875	1501.3916015625	1268.16345214844	NA	1502.52087402344	NA	NA	NA	NA	1780.76232910156	1409.15014648438	NA	NA	NA	NA
2479	1010.02572844108	1010.02371286026	1010.02640414787	1977.49	1965.63	1977.9	7	7	NA	1964.65783691406	NA	NA	1304.59765625	1319.27429199219	1479.39855957031	1364.35803222656	NA	1549.60339355469	NA	NA	NA	NA	NA	1585.05139160156	NA	NA	NA	NA
2480	1010.02575849786	1010.02509032173	1010.02606774938	8.8025	7.774	11.784	4	4	2330.41723632812	NA	NA	NA	NA	1547.71740722656	NA	NA	NA	NA	NA	NA	NA	NA	1651.81005859375	NA	NA	NA	1251.75268554688	NA
2481	1010.02500913987	1010.0240828659	1010.02653705877	32.568	24.094	38.383	5	5	2037.68432617188	NA	1752.36669921875	NA	NA	NA	NA	1549.75512695312	NA	NA	1476.00268554688	NA	NA	NA	NA	1739.61145019531	NA	NA	NA	NA
2482	1010.02562170636	1010.02512665374	1010.02650469568	49.8285	46.601	54.838	4	4	NA	NA	NA	NA	NA	NA	NA	NA	2029.88061523438	2458.12426757812	NA	NA	NA	NA	1874.80908203125	NA	NA	NA	1470.63171386719	NA
2483	1010.02557284429	1010.02490446262	1010.02646391552	68.239	59.179	69.135	4	4	NA	NA	1979.455078125	NA	NA	1846.46533203125	NA	1638.73193359375	NA	NA	1577.05480957031	NA	NA	NA	NA	NA	NA	NA	NA	NA
2484	1010.02542544352	1010.0242897735	1010.02664438801	1928.32	1912.32	1940.92	7	7	NA	1896.01623535156	NA	1554.45300292969	1489.96606445312	1663.54370117188	NA	1741.11730957031	NA	1400.7236328125	NA	NA	NA	NA	NA	1445.60888671875	NA	NA	NA	NA
2485	1014.66976775121	1014.66812545919	1014.67144395975	1605.495	1593.18	1633.92	8	8	NA	NA	NA	NA	NA	NA	4729.126953125	NA	NA	4980.51220703125	NA	4822.1904296875	5156.93115234375	NA	6255	6031.50927734375	5980.4619140625	4864.6259765625	NA	NA
2486	1034.99106658691	1034.99060946731	1034.99160613467	1828.95	1824.94	1831.04	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3749.5537109375	NA	NA	NA	NA	3352.00537109375	NA	3016.17724609375	3089.88671875	3085.77880859375
2487	1034.99126934172	1034.9902785357	1034.99169545906	1877.21	1873.32	1883.62	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5377.56884765625	NA	NA	NA	NA	5250.21826171875	NA	4283.7412109375	4786.79833984375	3655.21557617188
2488	1034.99117602444	1034.99049674516	1034.99223006498	1973.67	1967.72	1977.93	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5470.13916015625	NA	NA	NA	NA	5432.16455078125	NA	5607.6591796875	NA	3935.73022460938
2489	1034.99098487129	1034.99066331534	1034.99150043506	1935.95	1926.41	1943.02	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5710.1943359375	NA	NA	NA	NA	5031.34814453125	NA	5299.87255859375	4869.51025390625	NA
2490	1036.65215027152	1036.65090504877	1036.6527705996	1599.42	1584.92	1618.03	5	5	NA	NA	NA	NA	NA	NA	6476.52978515625	NA	NA	NA	6658.021484375	5469.9296875	6469.193359375	NA	NA	6972.4033203125	NA	NA	NA	NA
2491	1037.93230395734	1037.9312946107	1037.93376102931	1824.685	1818.98	1828.88	4	4	NA	NA	NA	NA	NA	NA	NA	2537.01416015625	NA	NA	2808.09741210938	NA	NA	NA	NA	NA	2624.96508789062	2147.97607421875	NA	NA
2492	1040.03937340264	1040.03846041184	1040.03973965676	112.243	112.087	112.529	15	15	69660.328125	68140.53125	65576.875	200620.3125	200771.765625	NA	183720.078125	179698.703125	214703.15625	NA	179344.546875	115837.6015625	56770.96875	NA	249376.921875	242692.40625	244417.578125	NA	NA	239467.703125
2493	1040.03936347756	1040.03858078046	1040.03967811078	17.908	15.826	18.217	14	14	72299.234375	66307.5234375	63843.01171875	202393.015625	207919.34375	NA	192996.234375	178561.6875	244025.484375	NA	183289.921875	113073.1484375	NA	NA	242427.46875	245681.671875	238834.046875	NA	NA	244308.03125
2494	1040.03944345021	1040.03878350797	1040.03996515648	1879.36	1875.22	1879.61	13	13	NA	NA	NA	195922.890625	203439.78125	NA	195753.171875	180170.96875	251424.078125	NA	194939.109375	116062.359375	53860.84765625	27572.650390625	256888.875	253872.078125	248895.171875	NA	NA	240344
2495	1040.03981821441	1040.03948441992	1040.04011076262	1977.77	1977.43	1977.93	7	7	NA	NA	NA	197900.234375	200678.921875	NA	187062.890625	181782.53125	NA	NA	192117.09375	115327.4765625	NA	NA	NA	264042.28125	NA	NA	NA	NA
2496	1040.03946819962	1040.03831529559	1040.03999127309	1946.905	1934.81	1965.56	10	9	NA	NA	NA	195532.625	NA	NA	NA	185542.546875	253006.5	NA	209190.421875	NA	55256.7890625	25842.5546875	263316.21875	NA	253015.734375	NA	NA	244907.65625
2497	1040.03857103967	1040.03836635515	1040.03887077258	291.2985	279.277	305.586	8	8	NA	NA	NA	NA	15862.2646484375	NA	NA	13508.5595703125	23655.21875	NA	15683.8583984375	16348.98828125	NA	NA	21360.42578125	21490.177734375	23090.583984375	NA	NA	NA
2498	1040.03954556505	1040.03923665986	1040.03985537271	57.9265	50.679	67.078	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110778	NA	NA	242739.28125	NA	246501.734375	NA	NA	242031.9375
2499	1041.04156423749	1041.04075162228	1041.04197325419	112.243	111.977	112.529	19	19	21062.666015625	19042.001953125	18745.39453125	54188.74609375	54453.1796875	48893.6796875	48402.3125	48975.37890625	58819.28515625	65280.29296875	49286.52734375	31980.814453125	14480.8984375	NA	66431.0234375	68104.0234375	65913.96875	62841.421875	54784.91015625	65471.90234375
2500	1041.04182384128	1041.04127164416	1041.04201435424	1879.11	1875.22	1879.62	17	17	NA	NA	NA	53270.04296875	51938.40234375	50715.765625	54245.16015625	49401.21875	67379.7734375	66043.1796875	53126.53515625	32048.41796875	14647.890625	8315.5947265625	68289.296875	69226.3671875	67287.4140625	68465.3984375	64367.09375	62030.7109375
2501	1041.04163815898	1041.04135981732	1041.04201212435	17.952	17.668	18.217	14	14	NA	NA	NA	53961.28515625	54500.67578125	52172.3984375	47669.4765625	47002.578125	64985.59375	65324.20703125	49244.65625	NA	NA	NA	63597.8125	66401.6328125	63866.93359375	62629.90234375	52169.3515625	63741.59765625
2502	1041.04177056192	1041.0412147157	1041.04230582465	1977.835	1977.67	1977.93	6	6	19967.201171875	NA	19978.05078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7408.89208984375	67075.3046875	70470.2578125	NA	65426.42578125	NA	NA
2503	1042.04384863021	1042.0426506265	1042.04432600135	112.243	109.926	112.529	19	19	4485.33740234375	3905.33569335938	3505.11743164062	10503.0302734375	10872.669921875	9376.6845703125	9884.5791015625	8864.859375	10761.3798828125	12247.5654296875	9501.4794921875	5977.2431640625	3054.50756835938	NA	12455.0625	12682.107421875	11770.7099609375	12086.8359375	10400.7841796875	12323.5322265625
2504	1042.04376269471	1042.04253465824	1042.04470003794	1877.44	1846.66	1881.66	17	16	4114.90771484375	3877.4990234375	3992.0029296875	9775.8603515625	10347.88671875	NA	9545.6962890625	9102.8427734375	12467.970703125	12643.09765625	9696.9013671875	NA	3203.6142578125	NA	13082.4716796875	14528.939453125	12841.728515625	12249.767578125	11604.1083984375	NA
2505	1042.04354131128	1042.04332187823	1042.04419805802	1950.17	1930.71	1963.14	12	12	4113.75634765625	NA	3862.82006835938	10109.8046875	10552.46484375	NA	9927.3515625	NA	13058.021484375	11827.05859375	10084.8046875	NA	3251.60400390625	NA	NA	12427.4052734375	NA	12766.357421875	11770.9970703125	NA
2506	1042.0439104304	1042.04309678077	1042.04460854462	26.1525	7.63	40.33	14	14	4044.275390625	NA	3847.42236328125	10222.21484375	11568.3388671875	NA	NA	8818.5576171875	13087.1337890625	11874.9248046875	NA	6518.60546875	2747.2802734375	NA	12387.470703125	11648.9580078125	12454.671875	NA	9204.03515625	11464.962890625
2507	1042.04368048729	1042.04287740893	1042.04424554213	67.424	58.885	77.483	9	9	3734.80859375	3909.81103515625	4191.63427734375	NA	9965.7529296875	9196.80078125	NA	8915.947265625	NA	NA	9396.7412109375	NA	3071.08056640625	NA	NA	NA	12761.3193359375	NA	NA	NA
2508	1042.04319161123	1042.04185828592	1042.04428903583	1977.87	1977.8	1978.02	5	5	3590.96313476562	3836.5888671875	3406.19360351562	NA	NA	NA	NA	NA	NA	NA	NA	NA	3266.29321289062	NA	NA	13359.8125	NA	NA	NA	NA
2509	1042.04372135534	1042.0434386638	1042.04441737954	49.7065	48.629	54.802	4	4	NA	NA	NA	NA	NA	NA	9919.0810546875	NA	NA	11617.3203125	NA	6136.64892578125	NA	NA	NA	NA	NA	12275.7626953125	NA	NA
2510	1042.04355278125	1042.04222323748	1042.0440150158	1908.945	1897.84	1916.26	4	4	NA	4929.03466796875	4394.6279296875	9812.3779296875	10056.60546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2511	1043.04596579302	1043.0437491016	1043.04774118515	112.269	108.384	114.548	13	13	NA	NA	NA	1813.23229980469	1521.68640136719	1745.001953125	1771.1796875	1918.69641113281	1629.81823730469	2199.07958984375	NA	NA	NA	NA	2231.73974609375	2228.53662109375	2193.0068359375	1924.48205566406	1954.12561035156	1946.68115234375
2512	1043.04602495193	1043.04396813272	1043.04709748512	1879.26	1874.92	1887.28	11	11	NA	NA	NA	NA	1967.85302734375	1897.96301269531	NA	1522.26232910156	2303.57373046875	2108.84814453125	NA	NA	NA	NA	2242.05053710938	2174.79296875	2119.29638671875	1987.953125	1975.1640625	1975.720703125
2513	1043.04658982753	1043.04421973278	1043.04716405581	63.048	44.613	81.224	13	13	NA	NA	NA	1692.02502441406	1728.97814941406	1855.23828125	1843.15124511719	1745.54296875	2156.19458007812	2300.43627929688	NA	NA	NA	NA	2202.83178710938	1963.08312988281	2153.37182617188	2045.40551757812	1676.23107910156	2101.287109375
2514	1043.04549069215	1043.04451919154	1043.04700779353	1953.36	1943.08	1965.18	9	9	NA	NA	NA	NA	1856.33410644531	1668.56018066406	NA	1639.49633789062	1968.625	NA	NA	NA	NA	NA	2044.447265625	1945.23083496094	2513.54345703125	2194.22436523438	NA	2667.10668945312
2515	1043.04533447773	1043.04453695183	1043.04660870016	14.116	7.938	24.259	7	7	NA	NA	NA	NA	1910.44665527344	NA	1539.076171875	1632.91748046875	NA	2479.30737304688	NA	NA	NA	NA	NA	NA	1880.02600097656	NA	1988.88208007812	2061.12866210938
2516	1043.04606494535	1043.04462594535	1043.04790308818	1921.56	1903.72	1932.92	10	10	NA	NA	NA	NA	1823.50329589844	1507.50219726562	NA	1773.07580566406	1987.69348144531	NA	NA	NA	NA	NA	2176.79077148438	1782.35241699219	2200.58032226562	2075.79614257812	1881.03405761719	2206.47534179688
2517	1043.04561322836	1043.04504670305	1043.0468735968	1977.915	1977.39	1978.02	4	4	NA	NA	NA	NA	NA	NA	NA	NA	2095.03247070312	2377.46362304688	NA	NA	NA	NA	NA	2185.6611328125	NA	NA	1821.87817382812	NA
2518	1055.89630565138	1055.89569133831	1055.89721919169	1233.335	1228.38	1236.53	6	6	NA	NA	NA	NA	NA	12067.9423828125	NA	NA	14092.3017578125	NA	NA	NA	NA	NA	12064.150390625	10993.091796875	9967.119140625	NA	9193.005859375	NA
2519	1055.89622607196	1055.89518998075	1055.89697924377	1257.82	1246.94	1259.03	4	4	NA	NA	NA	NA	NA	NA	12703.4833984375	NA	NA	13054.1748046875	NA	NA	NA	NA	NA	NA	NA	9477.044921875	NA	8991.3388671875
2520	1080.91680123849	1080.91649815628	1080.91786823967	1875.36	1872.83	1879.26	5	5	NA	NA	NA	NA	4494.1650390625	NA	NA	NA	5593.046875	NA	NA	NA	NA	NA	NA	NA	3884.97290039062	3817.51391601562	3720.19604492188	NA
2521	1080.91702575304	1080.91592624355	1080.91735832127	1830.93	1822.98	1832.78	5	5	NA	NA	NA	NA	2800.25805664062	NA	NA	NA	2961.34594726562	NA	NA	NA	NA	NA	NA	NA	2645.205078125	2553.9248046875	2466.81127929688	NA
2522	1080.91676949383	1080.91647379893	1080.91718453204	1949.95	1944.86	1956.92	4	4	NA	NA	NA	NA	4598.04541015625	NA	NA	NA	4671.4150390625	NA	NA	NA	NA	NA	NA	NA	3993.21508789062	3754.41162109375	NA	NA
2523	1082.91663606738	1082.91542204282	1082.91775358822	1977.92	1977.67	1977.97	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	4466.31787109375	NA	NA	NA	NA	4564.60986328125	3924.03881835938	NA	3216.06176757812	NA	4112.70654296875
2524	1082.91656449894	1082.91609305085	1082.91682158582	1875.41	1873.37	1879.49	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	4075.50268554688	NA	NA	NA	NA	4382.427734375	3599.49145507812	NA	3375.12915039062	NA	3449.39428710938
2525	1082.9163875872	1082.91549499928	1082.91851023823	1828.92	1824.85	1834.83	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3018.53955078125	NA	NA	NA	NA	2670.75048828125	2442.140625	NA	2396.7578125	NA	2198.2353515625
2526	1082.9168131484	1082.91601072696	1082.91713924858	1938.97	1926.71	1945.1	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	4249.90673828125	NA	NA	NA	NA	4524.65087890625	4241.71923828125	NA	3411.55541992188	NA	3288.50219726562
2527	1088.88014578206	1088.87904120392	1088.88166820448	1824.81	1818.88	1828.99	12	12	NA	NA	NA	4399.8759765625	5317	NA	3794.36059570312	NA	5260.39111328125	4800.2314453125	3763.00659179688	NA	NA	NA	4117.3154296875	4123	4673.38427734375	3847.962890625	3443.80712890625	3655.47924804688
