""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqd"	"pbQC61"	"pbQC62"	"pbQC63"	"pbQC64"	"pbQC65"	"pbQC66"	"pbQC67"	"pbQC68"	"pbQC69"	"pbQC70"	"pbQC71"	"pbQC72"	"pbQC73"	"pbQC74"	"pbQC75"	"pbQC76"	"pbQC77"	"pbQC78"	"pbQC79"	"pbQC80"	"isotopes"	"adduct"	"pcgroup"
"165"	116.959797232491	116.959669985725	116.959941741599	1693.12	1681.29	1706.09	13	13	224993.328125	202671.953125	227203.078125	260039.78125	210329.296875	343283.96875	339645.59375	291084.09375	226355.890625	320954.875	295201.40625	266793.625	298471.5	213654.9375	357096.1875	311071.75	330159	264343.875	268683.125	1514.0419921875	""	""	"66"
"166"	117.019413321332	117.01929273928	117.019751088248	1372.62	1371.12	1375.8	20	20	53196.765625	42962.34765625	50875.90234375	87482.5703125	70274.8359375	58016.21875	49161.29296875	31092.734375	31960.01171875	34056.69140625	25052.052734375	29224.275390625	33130.0703125	30943.6640625	28048.8828125	26726.828125	26304.017578125	27507.541015625	25767.08984375	31347.609375	""	""	"42"
"167"	117.019452095206	117.019358438202	117.019627837621	783.283	775.083	789.436	20	20	107078.34375	111749.375	108505.3828125	129442.265625	122349.046875	115703.3046875	128226.1875	112026.609375	121275.8046875	138959.765625	116198.578125	124807.078125	128257.1796875	132693.859375	122255.828125	117619.96875	124966.71875	141721.421875	125109.765625	155046.453125	""	"[M-H]- 118.027"	"73"
"168"	117.928795538379	117.928552190272	117.928989428226	1618.33	1591.07	1626.9	17	16	7891.66845703125	7103.9296875	10435.5390625	4615.38427734375	11678.296875	8334.263671875	5133.05224609375	11707.8427734375	7562.5439453125	4321.30029296875	10819.1142578125	6359.70751953125	7550.73193359375	8373.013671875	7978.6533203125	8087.673828125	7549.69482421875	2907.46899414062	8239.1171875	29594.171875	""	""	"72"
"169"	118.050826263176	118.050614302215	118.051684487431	1269.175	1263.03	1273.23	20	20	798564.3125	724487.8125	733223.3125	764741.625	735731.1875	679683.375	648707.9375	574727.25	625358.1875	599249.75	604699	637139.6875	371753.125	598057.75	592012.6875	662172.25	653188.5	615285.9375	650535	684072.625	""	""	"296"
"170"	118.95833167322	118.958071214992	118.958505597916	1686.51	1670.01	1706.09	19	19	17586	15908.2314453125	17940.734375	20609.849609375	16215.6220703125	27106.095703125	28788.64453125	22133.501953125	19095.66015625	27093.84765625	22323.255859375	22322.798828125	24904.244140625	17302.908203125	29662.8203125	25512.40625	26958.892578125	21580.279296875	20585.685546875	96848.2109375	""	"[M+Cl]- 83.9882 [M-H]- 119.965 [M-H-CO2]- 163.956"	"66"
"171"	121.040785114948	121.040584698079	121.040857642824	524.96	514.711	537.262	13	13	118725.40625	110813.140625	121398.796875	80533.6953125	110893.484375	106563.2890625	40951.86328125	105786.359375	104578.6328125	30370.251953125	95736.8125	60034.69921875	72026.8828125	69148.2421875	86681.765625	88375.4375	88215.3359375	29745.099609375	90265.828125	32176.5078125	""	""	"6"
"172"	122.967805883331	122.967735631794	122.967913479273	1584.97	1576.69	1589.28	19	19	780892.25	851249.625	711566.75	665001.875	613825.1875	1031800.5	997965.9375	948914.8125	916218.6875	983601.8125	1119446	1015917	936989.25	812920.6875	1039101.5	1070777.625	933870.0625	959284.6875	841785.3125	3980.10400390625	""	"[M-H-CO2]- 167.963"	"41"
"173"	122.967868914691	122.967603501199	122.968016660483	198.976	190.63	201.934	11	11	2365.46435546875	1895.59313964844	1933.22985839844	2781.53515625	1982.57055664062	3714.7451171875	3867.32934570312	3080.97192382812	2890.6953125	3593.55395507812	4171.96923828125	5161.40380859375	5710.00439453125	3989.27954101562	4626.05078125	6256.19091796875	5768.6318359375	6162.18798828125	4710.1220703125	5325.04638671875	""	""	"367"
"174"	124.007649505922	124.007562029454	124.007873327271	1329.765	1323.06	1332.24	20	20	1397934.25	1286043.5	1225641.125	1340379.125	1250548.25	1085257.25	1048391.1875	1005452.875	1017770.9375	941227.6875	1022422.625	986746.375	1081460.875	1098478.5	1069458.75	1028318.5	1052612	948146.8125	1102647.75	1045238.5	""	""	"37"
"175"	126.904866893784	126.904752126084	126.904981735071	1812.56	1806.07	1818.39	17	17	0	0	0	14960.619140625	15373.7470703125	13454.0849609375	16725.955078125	17819.546875	15546.6328125	15369.53515625	15963.1572265625	13022.357421875	16709.685546875	16898.787109375	13447.8125	13721.7138671875	13284.7353515625	14876.59375	13137.0654296875	13125.9609375	""	""	"102"
"176"	126.90482367855	126.904729625709	126.904964709767	1779.69	1755.35	1783.69	15	15	3273.93090820312	1596.11633300781	5844.8759765625	10458.404296875	12264.3115234375	11985.779296875	13086.337890625	11261.021484375	12343.3564453125	12585.216796875	14501.5244140625	14038.291015625	15038.7509765625	14917.83203125	10936.0654296875	12322.263671875	11026.05859375	12045.4423828125	11846.7685546875	15225.208984375	""	""	"1"
"177"	128.03538631517	128.035326846789	128.035477884016	975.9245	971.905	978.06	20	20	2168676.75	1923383.625	1882042.5	2375250	1998899.375	1719312.25	1436336.375	1413427.875	1449468.125	1240341	1361678.75	1310496.75	1411908.375	1420810.375	1435150.375	1547777.875	1592662.75	1498281	1630023.25	1585770	""	""	"31"
