	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc_test_data	pbQC001	pbQC002	pbQC003	pbQC004	pbQC005
421	166.0541580937	166.054138340889	166.054241244337	135.596	133.615	141.685	3	3	5950.21044921875	8692.1005859375	8399.8056640625	NA	NA
1143	394.975581516372	394.975403044314	394.975872083004	135.606	135.535	135.69	4	4	8318.0576171875	10714.869140625	NA	7955.2490234375	6666.71630859375
1230	444.972289200198	444.972214106778	444.972761588527	135.6305	135.535	137.74	4	4	7490.98681640625	9716.46875	6232.94580078125	NA	6891.9501953125
163	93.0094393920424	93.0094021314469	93.0095163926739	135.665	135.547	137.74	5	5	11047.513671875	11632.8369140625	11327.4775390625	11226.6845703125	11659.751953125
314	138.94151603596	138.94143167216	138.94160039976	136.625	135.665	137.585	2	2	3385.04467773438	10183.8798828125	NA	NA	NA
756	255.233058454164	255.232999379016	255.233117529311	136.6255	135.535	137.716	2	2	7880.8134765625	6736.12939453125	NA	NA	NA
1108	381.202582707199	381.20247465443	381.202690759968	136.6555	135.665	137.646	2	2	2757.033203125	NA	2229.806640625	NA	NA
1243	471.942116149854	471.941586945101	471.942276497906	137.585	135.547	137.74	5	5	5119.85546875	7992.86669921875	6128.2314453125	8253.9443359375	8093.82275390625
1331	560.874570768798	560.87436491671	560.874722295368	137.597	135.665	137.74	5	5	39156.265625	43826.31640625	34179.41796875	38264.296875	42322.34375
1354	562.872744091675	562.872565754676	562.872785448557	137.597	135.535	137.74	5	5	16331.83984375	21127.962890625	17868.580078125	17727.1484375	18511.806640625
29	62.9973436936095	62.9972854908122	62.9974170472301	137.6215	137.585	137.716	4	4	40231.83984375	43088.83203125	40895.80859375	45136.96875	NA
130	85.9996412456496	85.9995298291948	85.9996558239559	137.6215	137.585	139.79	4	4	NA	21493.630859375	22044.80078125	22547.61328125	24259.921875
65	66.0097855320737	66.0096980258134	66.0098703426903	137.646	137.585	137.74	3	3	NA	12113.5576171875	15497.8759765625	NA	14436.4189453125
