""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1069"	720.496459857553	720.496349160233	720.496605475658	338.634	338.173	344.785	3	3	4611.265625	5136.66943359375	4801.224609375	4369.607421875	1060.74719238281	""	"[M-H-CO2]- 765.524"	"77"
"1070"	722.512760857366	722.512719785932	722.512861966519	336.584	336.173	340.684	3	3	195048.46875	212620.53125	213468.375	231516.8125	24798.87890625	"[74][M]-"	"[M-H-COCH2]- 765.524"	"77"
"1071"	723.496356141505	723.495991253652	723.496874812763	273.028	269.817	285.33	3	3	2789.947265625	5575.4765625	4836.16455078125	4251.26318359375	6470.087890625	""	""	"233"
"1072"	723.515859473194	723.515809795866	723.515897344542	336.584	336.173	340.684	3	3	87072.6015625	94707.8515625	98476.4609375	100891.09375	18135.5234375	"[74][M+1]-"	""	"77"
"1073"	724.521797276971	724.521432609081	724.521884117187	338.634	336.173	344.785	3	3	28703.044921875	33592.7109375	31078.20703125	35549.8125	5449.83447265625	"[74][M+2]-"	""	"77"
"1074"	725.526896674869	725.526286968089	725.527060221134	338.634	338.173	344.785	3	3	7450.22216796875	8248.6796875	8803.1279296875	9263.056640625	2230.1162109375	"[74][M+3]-"	""	"77"
"1075"	726.541215860331	726.541174135459	726.541518328285	340.684	340.174	346.835	3	3	7702.3642578125	7508.31005859375	6574.18408203125	7397.61767578125	1869.92736816406	"[74][M+4]-"	""	"77"
"1076"	735.528478853327	735.527712837457	735.528572459856	558.003	555.954	570.306	3	3	13934.3154296875	19563.837890625	21494.53515625	2068.869140625	0	"[75][M]-"	""	"16"
"1077"	736.531195122277	736.530948627139	736.531699583097	558.003	555.954	568.255	3	3	7780.67236328125	9705.7451171875	10280.7421875	1068.17028808594	2725.16748046875	"[75][M+1]-"	""	"16"
"1078"	738.507606059328	738.5074463741	738.50764929268	344.784	342.174	350.935	3	3	113891.6328125	143063.546875	148001.015625	136303.6875	1610.10083007812	"[76][M]-"	""	"96"
"1079"	739.51063883749	739.51059593948	739.510817262126	344.784	344.184	350.935	3	3	47930.1953125	64821.13671875	62998.7734375	61866.16796875	0	"[76][M+1]-"	""	"96"
"1080"	740.521288096472	740.521153884652	740.521464243988	346.835	344.184	350.935	3	3	65370.73046875	80352.4921875	82335.265625	78549.359375	1385.05114746094	"[76][M+2]-"	""	"96"
"1081"	741.525617392484	741.525530990453	741.525648615528	346.835	346.184	352.985	3	3	26095.5703125	34372.33203125	34294.00390625	33772.86328125	786.07470703125	"[76][M+3]-"	""	"96"
"1082"	742.537569108471	742.537403252934	742.537573601861	346.835	346.184	350.935	3	3	51808.5234375	51542.4453125	48249.12109375	52536.6328125	3402.38427734375	"[76][M+4]-"	""	"96"
"1083"	743.541297163893	743.541074353116	743.541633080418	346.835	344.184	352.985	3	3	21635.462890625	23786.900390625	22666.23046875	23196.845703125	1275.44567871094	""	""	"96"
"1084"	744.549575749627	744.549484229979	744.550249981444	346.835	344.184	352.985	3	3	11839.10546875	11573.890625	9898.3818359375	10997.2783203125	1440.27709960938	""	"[M+Cl+HCOOH]- 663.56"	"96"
"1085"	746.512796663074	746.512575343758	746.512800844646	330.433	330.213	334.534	3	3	180580.6875	239599.25	243331.03125	240934.515625	15267.2529296875	"[77][M]-"	"[M-H-CO]- 775.542 [M-H-C2H4]- 775.542"	"72"
"1086"	747.517478537983	747.517202606961	747.517802538508	229.974	227.924	234.069	5	5	192604.421875	431671.84375	440685.71875	418052.09375	743327.8125	"[78][M]-"	""	"54"
"1087"	747.515836659703	747.515832014794	747.515879575552	330.433	330.213	336.584	3	3	86298.0703125	113884.0078125	107609.984375	111821.6328125	8088.69873046875	"[77][M+1]-"	""	"72"
"1088"	748.520932919432	748.520365633881	748.521016056852	229.974	227.924	234.069	5	5	76592.5625	189289.046875	208743.8125	200888.484375	330664.3125	"[78][M+1]-"	""	"54"
"1089"	748.527287119222	748.527038074474	748.527372758791	330.433	328.232	334.534	3	3	139592.265625	176249.96875	183017.625	177644.796875	21203.412109375	"[77][M+2]-"	""	"72"
"1090"	749.530938947946	749.530647874338	749.530988584048	330.433	328.232	334.534	3	3	61203.20703125	71902.8046875	73450.546875	80212.6875	10528.400390625	"[77][M+3]-"	""	"72"
"1091"	749.542769244225	749.542683206914	749.542853258581	553.904	551.853	566.205	3	3	6587.4892578125	7691.4599609375	8448.9208984375	3162.4736328125	9525.759765625	""	""	"266"
"1092"	750.543559437267	750.543214248214	750.543840805778	328.383	326.252	332.484	3	3	193551.84375	217587.46875	229010.71875	244288.9375	20618.45703125	"[77][M+4]-"	""	"72"
"1093"	751.546821523284	751.546612043482	751.547132078759	328.383	326.252	332.484	3	3	85792.3046875	98147.125	96603.296875	111813.3359375	11033.7431640625	""	"[M-H-COCH2]- 794.564"	"72"
"1094"	752.550627094923	752.550421886032	752.551381777488	330.433	328.232	334.534	3	3	26272.173828125	29209.5078125	28966.73046875	31829.421875	10264.4736328125	""	""	"72"
"1095"	754.502924480937	754.502829611765	754.503314491635	357.086	348.204	359.136	3	3	7642.56005859375	10800.9560546875	9103.9892578125	6979.32568359375	2615.18896484375	""	""	"140"
"1096"	762.507629601084	762.507478467638	762.50768849098	340.684	340.174	346.835	3	3	58617.76171875	84120.4140625	74475.3359375	74389.3203125	5663.1533203125	""	""	"77"
"1097"	762.513616761411	762.513254664296	762.51404447088	490.347	488.298	502.649	3	3	3821.69995117188	19724.001953125	5906.6357421875	3828.34008789062	13272.3203125	""	""	"473"
"1098"	763.51107094775	763.510802581643	763.511088010517	340.684	340.174	346.835	3	3	28898.90625	40731.99609375	35415	37809.27734375	2308.06396484375	""	""	"77"
"1099"	763.560300137778	763.559780406078	763.560475114311	549.803	549.803	564.155	3	3	150121.671875	189512.859375	191022.8125	78028.2890625	0	""	"[M-H]- 764.555"	"87"
"1100"	764.522596139318	764.522595100933	764.522721196745	338.634	338.173	344.785	3	3	85890.0859375	113303.8515625	106300.3984375	109253.765625	6278.57958984375	"[79][M]-"	"[M-H]- 765.524"	"77"
"1101"	764.522733351719	764.52224947645	764.523423372432	488.297	486.248	496.499	3	3	22309.736328125	22442.197265625	7634.92333984375	90026.4375	108495.140625	"[80][M]-"	""	"92"
"1102"	764.563096096906	764.562639435995	764.563212878146	551.854	549.803	564.155	3	3	68632.0625	84963.8359375	83780.125	38039.66015625	0	"[81][M]-"	""	"16"
"1103"	765.526311096484	765.525995303594	765.526468570122	338.634	338.173	344.785	3	3	40456.4140625	50327.96484375	48699.8671875	47332.43359375	3032.2333984375	"[79][M+1]-"	""	"77"
"1104"	765.526773769992	765.525917691781	765.526924094609	488.299	482.147	500.599	3	3	2613.88330078125	4429.21337890625	3715.2958984375	10901.8193359375	12580.173828125	"[80][M+1]-"	""	"92"
"1105"	765.566268118061	765.565688835856	765.566494154332	553.904	549.803	564.155	3	3	19127.814453125	24049.4453125	23297.47265625	10703.7578125	0	"[81][M+1]-"	""	"16"
"1106"	766.538549883564	766.538425982196	766.538562060306	336.584	336.173	342.734	3	3	167975.328125	174855.796875	170799.578125	191999.234375	12504.6474609375	"[79][M+2]-"	""	"77"
"1107"	767.541934804665	767.541777394676	767.541940092506	336.584	336.173	342.734	3	3	74079.7109375	75863.8359375	77660.25	85973.2265625	5097.3212890625	"[79][M+3]-"	""	"77"
