Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Leucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-21796,149565559,17688560,22183966,9289972,38859728,19974777,82408503,1859094,9441850,12659674,19901355,2660671,3029117,3343472,75279638,1481235
010-21800,186569150,21527960,31581288,18016963,66161671,33322059,89978526,3321991,11896597,18949403,23698022,5774069,8408851,4132947,77056167,3765130
010-21847,163887188,20439712,22494533,12237474,39033602,20920062,66328152,9063967,7308312,11927586,21356690,4208409,9281190,1699281,62640022,5453171
010-21851,156050009,17730662,27115080,14011044,48515496,24971942,74027216,11081672,9132148,11991317,26151050,17154391,17064375,3759352,114438297,11426885
010-21852,234121030,17709534,35681885,17028685,77081996,30947108,84594161,4916198,11683285,17081470,59582955,2015622,15427216,3208468,104537472,5711718
010-21867,167676519,23504979,28957919,16810739,55298892,31839763,80113175,6137692,9627160,24765594,67294453,7387736,11096702,2872553,99971191,3710146
010-21882,170885340,18746129,26586680,13141713,49078178,21697569,75654749,8031667,7146643,13659168,44795491,7058029,11904908,3005214,63270752,6436407
010-21885,174672141,18415417,25309266,12463132,46188479,30579811,74865474,1797798,9502643,17157109,34530900,2829232,6803996,2603252,63424183,2914496
010-21892,135590635,18645489,23267167,12160606,41124341,19446207,77898842,4736022,7376009,11580694,31823164,7476115,7410172,2495105,60917806,3188758
010-21897,217985703,17889397,23765393,11790826,43748175,20982369,112527870,2501553,8060917,16081680,27843015,1342356,1792737,2352386,76979581,1089022
010-21904,73124457,16290032,22812254,10381895,40930673,20946502,78736586,9208774,7574742,11708810,24819782,4353070,9440055,2730781,80415169,5380220
010-21924,261373920,22595868,36299388,20101419,68622410,30814370,105956938,2963564,11060201,18125443,28764805,3310825,4543037,3962654,96529348,2475556
010-21990,171351245,17868633,30736185,14863058,57111492,26509944,87386320,5645377,10179913,14418338,27909866,11804828,16424208,4600689,79366487,7392808
010-21995,98090907,13476015,14555341,7536704,27259249,17241455,85161467,6825438,6502041,7913566,25784066,7448734,9375557,2502404,36665602,10002803
010-22009,139645555,17761123,26343363,14690709,51818208,25695226,85740099,4504953,9703400,16629752,30056840,821049,6489161,4098511,77529262,8077138
010-22037,172931780,18957709,22820812,10757083,41188679,22362017,85809827,2704902,8331016,9231538,32086278,4577234,6266195,2879250,53304191,3431449
010-22068,249346763,24281835,36580835,18896402,72534733,31108613,94072067,4478687,11056331,14454845,35898559,3206953,6798927,3696647,61687189,3440012
010-22086,177969558,19197733,26742893,13747308,49137277,23124928,82153546,3231473,7166400,12789498,32247625,2295589,4150263,3764068,66198461,3953786
010-22107,245988250,23582582,34003168,16017939,64065138,29708855,83130665,5904561,11973680,17272248,36212461,12006521,17877664,3870694,108170996,7181549
010-22132,153944534,22225946,28113540,12411554,52973527,27756862,92052538,8301711,9105874,14054206,38402989,6643635,12657458,3378978,74568845,6403300
010-22135,167675798,16989025,27719086,14204913,52323960,23374531,75105242,6511613,7926732,10094072,28876726,8205784,9373465,2165000,95997514,5989303
010-22143,118589629,14998310,27169878,12370767,50663845,24259601,87317625,3855764,9251264,14460820,43878287,8416211,9848284,2173612,73198079,4310099
010-22144,203098011,26781973,36266154,19444000,68619520,33652251,92039952,6451625,9706153,25327149,49103681,11634567,16486207,4412753,77148627,7891158
010-22149,131082626,21814063,18370293,10660407,33466663,20500939,85399358,3446836,7225271,9982824,36456599,2104081,4558307,2660919,83840621,3491375
010-22163,136150020,26211715,19600733,10924130,35096466,12704583,99339697,5929188,5641278,27914286,25133611,128367,2818761,4867574,89349364,6574204
010-22175,89145687,13636878,12739138,6284317,24099407,15626352,69653689,1190129,5184784,8335747,33189188,1440081,3450669,2516691,58825320,1862257
010-30230,172303265,19966056,27328199,13495073,49934366,26569692,66550781,4332654,8543334,12864205,43089511,6575908,4324153,3457148,78161489,3103686
010-30247,165998324,22795229,26000929,14306114,46376703,22883349,102140195,8026788,8456635,20037775,39911145,12723722,16848635,5455468,58521061,9496642
010-30278,185496806,20395122,34866010,16523470,58641013,34998534,84589022,5129671,9995659,15703725,46778675,13929709,6968648,3214993,144013820,4956141
010-30287,147980263,21953487,25814159,13695251,47673730,22785297,86177729,4240385,8540242,16078339,55181046,2272317,10383275,3652660,122319754,8114056
010-30290,125112054,16840234,22573042,11686092,38299565,23730539,75164333,3391135,7835770,11377188,31276750,3860746,4997710,1982960,84304976,3183624
010-30302,186024855,25226897,27324774,13476188,56225952,23825226,84313435,2052075,9210057,17324050,35527182,884320,5424139,4734924,122373602,5190652
010-30349,157944168,21180572,30390966,15694610,60528790,30132297,98057205,7592957,10041281,14876321,41159055,3265591,17215299,4013402,100129814,9479888
010-30361,118454462,15862968,18112769,9071104,32753436,16259067,88496269,3597862,5732920,9866308,20128398,3937479,4935321,2389741,60923572,2929345
020-00043,161713644,23052193,28487699,16314179,50071549,36020051,83453079,10401302,12806443,16772404,36917298,11472425,11177846,2496963,81583063,7746099
020-00050,182566758,20154683,20189013,9249237,33169909,20203908,90392336,2482008,7554998,12089221,47959918,2390298,3194633,1928408,69410191,1720941
020-00059,126505131,22748814,19215855,9743158,31590260,19320605,83089191,4466632,6303555,10480015,24293486,2940720,5763098,2135951,42716387,4058970
020-04142,100150117,17706611,18590449,10443279,34082681,17355720,88766136,3584087,6781257,11590594,16539661,3667787,5204539,2659494,57823072,2973191
020-04185,58555863,15434952,14608656,8026229,26481292,18653377,80461120,8994050,6622349,11546533,19080330,4217897,10407593,2402971,62876949,4904651
