Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-21641,125508909,16655543,23990630,11660070,46915065,23126672,56139521,2575745,7862472,7759965,36267660,6184323,7481612,3470939,77958360,4471592
010-21667,156498497,16200475,17172392,9818553,28544632,13585380,72648240,7811004,7717352,9170374,12711588,21658112,5160323,1667206,69915101,8010074
010-21671,188772831,19030253,19970045,11254190,34054134,18457058,72809110,5784559,8029778,12260430,13630063,5723385,9141773,2455415,55509975,5053885
010-21680,199401171,16243730,26470121,12113297,52003054,22079427,57604013,3032152,9391442,14909234,23234216,9468210,5640930,3002401,83680289,3436260
010-21688,192192386,22221923,37109302,17784183,75154054,26971075,84847047,5973724,11163583,13598666,33631462,5934960,15596629,3142397,76906326,6394921
010-21699,255532288,23990069,26529855,12887440,44334244,12534255,80925389,2842643,7912781,16058520,29461326,7471369,9656579,3741557,70615163,4864390
010-21701,227388878,19781910,27261218,15657436,48248754,19619336,85845288,4768570,10578797,13792226,28462216,11655396,5412890,3244980,75661668,5506111
010-21703,174252093,17990140,22034760,12763746,38767828,15761219,64394317,5351912,7859894,10068028,19427364,18076356,4494280,2580123,83315092,6209968
010-21768,112288670,12232668,12409287,7670054,21405219,11616651,62918203,5992462,5291042,5230084,13082826,7546288,4826283,2352856,53505748,4460718
010-21771,213368622,21814666,29129564,15888388,59296407,24831029,77561964,3241845,8969578,14749184,34988800,6642128,12314232,5279018,78943016,7666366
010-21797,156118614,16397394,29861501,15436969,57714795,24792042,78307125,6919545,11099179,14491904,23263158,10299804,15093397,3050267,76776675,9349512
010-21812,260359475,24779568,26252171,13378307,46491580,16526914,89218270,5705516,8934882,12608962,22543242,7922745,6350765,3509813,56925080,6307534
010-21825,224959101,17160912,24496306,14795324,40477860,22000525,70768891,5554906,9071607,12734715,23122356,27622259,5427939,3439425,81068700,8060421
010-21830,244271912,22534502,32077953,17028326,63551628,18216165,63039744,6303789,9347064,20527486,41590864,17046713,22888661,4455874,94055424,10760481
010-21898,210023803,22131835,33513293,17095223,64687719,27955907,76914941,2182179,10739329,14714985,46084138,4141079,5796283,3735982,97281985,2940318
010-21914,48185668,11654789,11789435,6308102,19284285,17378050,66137256,3066837,5743827,7240028,12148766,3633787,3919512,1560354,73083205,2054671
010-21915,132197620,14502838,21972104,9306550,41495610,22875944,73547529,2452367,7683545,10708465,17378234,4432871,8150079,2338343,62426210,3423692
010-21921,148258294,16389744,16236413,8437840,27117260,14038174,83924355,4207426,7659361,9461369,16536388,3864063,6769779,2186194,61610841,3521866
010-21927,137992548,20783773,22599092,11479085,37967735,18550050,88605936,8521647,9100647,17423642,31848141,7907909,7958030,2997285,123307410,4279494
010-21928,128670860,19505517,21710604,11273292,38328082,22297239,78400470,12057507,8309316,11955823,22371379,14500687,15690688,3444502,93221869,14528377
010-21945,104553781,15748041,13000084,7164773,19999176,13040432,57606906,1670622,4871899,8699477,20701370,3166192,1826810,1847950,70088368,1169262
010-21976,161835235,21726389,27154732,12423870,45786182,14677189,83369610,4345170,8666150,15196675,17694856,2762165,10400753,4583233,66714865,3034241
010-21981,129014146,23498328,14995293,7663623,26061584,9703143,57166078,8062493,5927767,8977955,17548342,1384740,9273920,1858699,61110261,3891098
010-21997,176374577,14494328,18545191,9427318,36816288,17990450,74192383,2188961,6992815,10613402,15926515,4065269,4405361,2908485,70964033,2718870
010-22001,182822023,21068038,23447038,11429390,44825409,19459392,84363289,1982714,8335393,11790840,23404370,2028068,5349450,3009859,78009250,2239636
010-22055,163954707,16741714,16342038,9155703,25272128,13935165,54841570,1395403,7216771,10921327,18282780,2893427,558026,2097007,78044532,1064289
010-22092,191952744,20789821,25280246,15077599,46969143,15370493,61630012,3179272,8813146,13950990,41495981,11368256,7393731,3192021,85411854,4498461
010-22106,136168874,17019861,17785279,8447751,33519819,22267813,53853103,2961183,7262076,10120861,26405647,5070967,8235086,3353945,62353471,4694332
