reading Peaks
calc score matrix
1355 1444
<type 'int'>
8.00022565747 2.97234510665e-05 13.9449158708
7.00527129073 3.50518029226e-05 14.0156318753
7.00491117835 3.44252136117e-05 13.8899539007
7.00484506644 3.29671056203e-05 13.5982661905
7.00514548999 3.33096342225e-05 13.6670723345
7.00526442999 3.17162046693e-05 13.3485053638
7.00524414768 3.14098063234e-05 13.2872054124
7.00522293193 3.07825931525e-05 13.1617415624
6.96879020975 3.98097494562e-05 14.930740101
6.06302920819 2.92125346157e-05 11.9055361313
5.98458935045 3.97673083062e-05 13.9380510117
5.98463892948 3.24680606994e-05 12.4782510694
4.00564275503 3.52757848735e-05 11.0607997297
4.00561027126 3.28230560182e-05 10.5702214749
3.96920634496 3.13701505871e-05 10.2432364624
2.97392278861 5.30774614878e-05 13.5894150862
1.98965149233 5.55004239974e-07 2.10065234032
1.98989502114 0.000102446817376 22.4792584963
1.98952496548 4.02735852608e-05 10.0442420176
1.98969464779 7.08266429822e-05 16.1550232442
1.99002217954 2.90270570366e-05 7.79543358686
0.9863367955 3.35295826793e-05 7.69225333136
9.97852912619 0.000575044342433 124.987397613
9.97824147792 0.000143370494032 38.6523402843
11.9494309016 0.000163583846019 44.6662001053
11.9493514792 0.000289444107385 69.8381729561
11.9827508757 0.000151658115499 42.3143739754
19.9996755477 4.15631834049e-05 28.3123122287
19.9993539079 1.79016814564e-05 23.5796901992
19.9994563086 0.00219071884845 458.143225998
19.9996572833 7.1222824507e-05 34.2442221847
18.0214395624 3.66758670849e-05 25.3566129793
18.0208469367 0.000288547922929 75.7304315226
17.9846375542 0.000319889518158 81.9625411857
17.9847936748 0.000342233635952 86.4315208651
16.9893884113 1.03289157274e-05 19.0551715568
16.0057677931 0.000128724368062 41.7506414054
16.0054450248 9.4878742706e-05 34.981193566
16.0052626411 0.000403096042135 96.6244710682
14.0444617713 0.000127291795548 39.5028208808
14.0442652471 0.000200421360859 54.1285374188
12.0950653935 1.335793407e-05 14.7666522075
12.0553119923 2.52325436297e-06 12.5599628649
12.0552773443 4.21646952668e-05 20.4882163976
12.05518484 0.000300947424814 72.2446698028
11.0569601603 2.49245816722e-05 16.0418764947
10.0970793133 1.35970604303e-05 12.8164913994
8.03938028064 0.00113225549097 234.490478476
8.00014293925 0.000563432929934 120.686728926
8.00009903843 0.000321113219253 72.222742889
7.00473897732 0.00623898429336 1254.80159765
7.00462647126 0.000815977814583 170.200189388
7.00504953248 0.000627318075063 132.468664545
